action,action_detail,action_type,action_1,booking
other_hosting_reviews,-unknown-,-unknown-,search,no
social_connections,-unknown-,-unknown-,search,no
relationship,-unknown-,-unknown-,search,no
15,message_post,message_post,contact,no
collections,-unknown-,-unknown-,etc,no
12,message_post,message_post,contact,no
show,-unknown-,-unknown-,etc,no
jumio_redirect,-unknown-,-unknown-,etc,no
jumio_token,-unknown-,-unknown-,etc,no
login_modal,login_modal,view,login,no
domains,-unknown-,-unknown-,etc,no
toggle_archived_thread,toggle_archived_thread,click,etc,no
show,p1,view,etc,no
search,-unknown-,-unknown-,search,no
edit_verification,profile_verifications,view,login,no
edit,edit_profile,view,login,no
ajax_ldp,-unknown-,-unknown-,etc,no
connect,oauth_login,submit,login,no
requested,post_checkout_action,submit,search,no
notifications,account_notification_settings,view,login,no
account,-unknown-,-unknown-,login,no
update,update_user_profile,submit,login,no
delete,-unknown-,-unknown-,etc,no
phone_number_widget,-unknown-,-unknown-,etc,no
callback,oauth_response,partner_callback,etc,no
signup_modal,signup_modal,view,login,no
10,message_post,message_post,contact,no
open_graph_setting,-unknown-,-unknown-,etc,no
reviews,-unknown-,-unknown-,search,no
signup_login,signup_login_page,view,login,no
payment_instruments,-unknown-,-unknown-,reservation,no
payment_methods,-unknown-,-unknown-,reservation,no
pay,-unknown-,-unknown-,reservation,no
unread,-unknown-,-unknown-,etc,no
at_checkpoint,at_checkpoint,booking_request,reservation,yes
push_notification_callback,-unknown-,-unknown-,etc,no
faq_category,-unknown-,-unknown-,etc,no
localization_settings,-unknown-,-unknown-,my_options,no
update_notifications,-unknown-,-unknown-,login,no
manage_listing,manage_listing,view,my_options,no
set_user,create_listing,submit,my_options,no
index,your_listings,view,my_options,no
references,profile_references,view,my_options,no
languages_multiselect,-unknown-,-unknown-,login,no
salute,-unknown-,-unknown-,contact,no
rentals,-unknown-,-unknown-,search,no
currencies,-unknown-,-unknown-,search,no
new,list_your_space,view,my_options,no
position,-unknown-,-unknown-,etc,no
create,list_your_space,view,my_options,no
populate_help_dropdown,-unknown-,-unknown-,etc,no
popular,popular_wishlists,view,search,no
popular_listing,-unknown-,-unknown-,search,no
listing,p3,view,etc,no
available,-unknown-,-unknown-,search,no
glob,-unknown-,-unknown-,etc,no
this_hosting_reviews,listing_reviews_page,click,search,no
widget,,,etc,no
complete,-unknown-,-unknown-,etc,no
pending,-unknown-,-unknown-,reservation,no
profile_pic,-unknown-,-unknown-,search,no
signature,-unknown-,-unknown-,etc,no
edit,-unknown-,-unknown-,etc,no
apply_reservation,apply_coupon,submit,reservation,no
ajax_statsd,-unknown-,-unknown-,etc,no
travel,-unknown-,-unknown-,etc,no
tos_confirm,-unknown-,-unknown-,etc,no
uptodate,,,etc,no
ajax_payout_options_by_country,-unknown-,-unknown-,reservation,no
index,user_tax_forms,data,login,no
payout_preferences,account_payout_preferences,view,reservation,no
payout_update,-unknown-,-unknown-,reservation,no
ajax_payout_edit,-unknown-,-unknown-,reservation,no
pending_tickets,-unknown-,-unknown-,reservation,no
issue,-unknown-,-unknown-,etc,no
contact_new,-unknown-,-unknown-,contact,no
itinerary,guest_itinerary,view,reservation,no
receipt,guest_receipt,view,reservation,no
update_hide_from_search_engines,-unknown-,-unknown-,search,no
settings,-unknown-,-unknown-,login,no
privacy,account_privacy_settings,view,login,no
reviews_new,-unknown-,-unknown-,search,no
add_guests,-unknown-,-unknown-,reservation,no
ajax_image_upload,-unknown-,-unknown-,login,no
qt_with,lookup_message_thread,data,contact,no
webcam_upload,-unknown-,-unknown-,login,no
friends,friends_wishlists,view,friend,no
ajax_google_translate_description,-unknown-,-unknown-,etc,no
trust,-unknown-,-unknown-,search,no
guarantee,host_guarantee,view,search,no
supported,-unknown-,-unknown-,etc,no
countries,-unknown-,-unknown-,search,no
status,-unknown-,-unknown-,login,no
confirm_email,-unknown-,-unknown-,login,no
upload,-unknown-,-unknown-,etc,no
authorize,-unknown-,-unknown-,login,no
rate,-unknown-,-unknown-,etc,no
delete,delete_phone_numbers,submit,etc,no
remove_dashboard_alert,-unknown-,-unknown-,login,no
ajax_get_results,view_search_results,click,search,no
authenticate,login_page,view,login,no
recommend,-unknown-,-unknown-,search,no
change_currency,-unknown-,-unknown-,search,no
transaction_history_paginated,-unknown-,-unknown-,reservation,no
transaction_history,account_transaction_history,view,reservation,no
set_password,set_password,submit,login,no
cancel,guest_cancellation,submit,reservation,no
phone_verification_modal,-unknown-,-unknown-,login,no
submit_contact,-unknown-,-unknown-,contact,no
detect_fb_session,-unknown-,-unknown-,contact,no
tell_a_friend,-unknown-,-unknown-,friend,no
change,change_or_alter,view,etc,no
clickthrough,-unknown-,-unknown-,etc,no
multi_message_attributes,-unknown-,-unknown-,contact,no
update_friends_display,-unknown-,-unknown-,friend,no
my_listings,your_reservations,view,my_options,no
email_itinerary_colorbox,-unknown-,-unknown-,contact,no
mobile_landing_page,-unknown-,-unknown-,etc,no
create_ach,-unknown-,-unknown-,etc,no
country_options,-unknown-,-unknown-,search,no
11,message_post,message_post,contact,no
host_2013,-unknown-,-unknown-,etc,no
terms,terms_and_privacy,view,etc,no
multi_message,message_post,message_post,contact,no
ajax_send_message,-unknown-,-unknown-,contact,no
airbnb_picks,airbnb_picks_wishlists,view,search,no
friends_new,-unknown-,-unknown-,friend,no
reputation,-unknown-,-unknown-,search,no
complete_redirect,-unknown-,-unknown-,etc,no
toggle_starred_thread,toggle_starred_thread,click,etc,no
email_share,email_wishlist,submit,my_options,no
email_wishlist,email_wishlist_button,click,my_options,no
destroy,-unknown-,-unknown-,etc,no
add_note,wishlist_note,submit,my_options,no
index,,,etc,no
overview,-unknown-,-unknown-,etc,no
requirements,-unknown-,-unknown-,etc,no
update_reservation_requirements,-unknown-,-unknown-,reservation,no
image_order,-unknown-,-unknown-,etc,no
review_page,-unknown-,-unknown-,etc,no
login,-unknown-,-unknown-,login,no
ajax_worth,calculate_worth,submit,search,no
place_worth,place_worth,view,search,no
google_importer,-unknown-,-unknown-,etc,no
change_availability,-unknown-,-unknown-,etc,no
hospitality,-unknown-,-unknown-,etc,no
change_password,change_password,submit,login,no
feed,-unknown-,-unknown-,etc,no
host_summary,-unknown-,-unknown-,search,no
ajax_price_and_availability,alteration_field,click,search,no
jumio,-unknown-,-unknown-,etc,no
guest_booked_elsewhere,message_post,message_post,contact,no
about_us,-unknown-,-unknown-,etc,no
founders,-unknown-,-unknown-,etc,no
travel_plans_previous,previous_trips,view,my_options,no
why_host,-unknown-,-unknown-,search,no
hospitality_standards,-unknown-,-unknown-,etc,no
social,-unknown-,-unknown-,friend,no
recommendations,-unknown-,-unknown-,friend,no
update,update_listing,submit,etc,no
update,update_listing_description,submit,etc,no
reviews,user_reviews,data,reservation,no
update,update_user,submit,reservation,no
notifications,notifications,submit,login,no
social_connections,user_social_connections,data,friend,no
unavailabilities,unavailable_dates,data,reservation,no
index,reservations,data,reservation,no
reviews,listing_reviews,data,search,no
search,view_search_results,click,search,no
listings,user_listings,view,my_options,no
campaigns,,,etc,no
create,signup,submit,login,no
collections,user_wishlists,view,my_options,no
index,message_inbox,view,contact,no
available,trip_availability,data,search,no
payment_instruments,payment_instruments,data,reservation,no
update_cached,admin_templates,data,login,no
notifications,notifications,data,login,no
become_user,-unknown-,-unknown-,etc,no
departments,-unknown-,-unknown-,etc,no
department,-unknown-,-unknown-,etc,no
office_location,-unknown-,-unknown-,etc,no
host_summary,host_home,view,search,no
currencies,,,search,no
photography,-unknown-,-unknown-,etc,no
preapproval,message_post,message_post,contact,no
maybe_information,message_post,message_post,contact,no
toggle_availability,-unknown-,-unknown-,etc,no
payoneer_account_redirect,-unknown-,-unknown-,reservation,no
connect,-unknown-,-unknown-,etc,no
show,translations,data,etc,no
localization_settings,,,login,no
create,create_listing,submit,etc,no
forgot_password,forgot_password,click,login,no
new_host,-unknown-,-unknown-,search,no
update,,,reservation,no
payoneer_signup_complete,-unknown-,-unknown-,reservation,no
ajax_google_translate,-unknown-,-unknown-,etc,no
index,homepage,view,etc,no
remove_dashboard_alert,remove_dashboard_alert,click,login,no
recommendations,user_friend_recommendations,data,friend,no
forgot_password,forgot_password,submit,login,no
confirm_email,confirm_email,click,login,no
onenight,-unknown-,-unknown-,etc,no
approve,host_respond,submit,reservation,no
approve,-unknown-,-unknown-,reservation,no
nyan,-unknown-,-unknown-,etc,no
booking,booking,booking_response,reservation,yes
payout_delete,-unknown-,-unknown-,reservation,no
change_default_payout,-unknown-,-unknown-,reservation,no
envoy_bank_details_redirect,-unknown-,-unknown-,reservation,no
respond,respond_to_alteration_request,submit,etc,no
show,alteration_request,view,etc,no
new,-unknown-,-unknown-,etc,no
create,create_alteration_request,submit,etc,no
request_photography,-unknown-,-unknown-,etc,no
zendesk_login_jwt,-unknown-,-unknown-,login,no
delete,delete_listing,submit,etc,no
ajax_photo_widget,-unknown-,-unknown-,etc,no
set_password,set_password_page,view,login,no
message,-unknown-,-unknown-,contact,no
southern-europe,-unknown-,-unknown-,etc,no
life,-unknown-,-unknown-,etc,no
press_release,-unknown-,-unknown-,etc,no
media_resources,-unknown-,-unknown-,etc,no
press_news,-unknown-,-unknown-,etc,no
referrer_status,-unknown-,-unknown-,etc,no
create_multiple,-unknown-,-unknown-,etc,no
load_more,-unknown-,-unknown-,etc,no
create_paypal,-unknown-,-unknown-,reservation,no
locale_from_host,-unknown-,-unknown-,search,no
terms_and_conditions,-unknown-,-unknown-,etc,no
invalid_action,-unknown-,-unknown-,etc,no
photography_update,-unknown-,-unknown-,etc,no
delete,delete_listing_description,submit,etc,no
badge,-unknown-,-unknown-,search,no
apply,-unknown-,-unknown-,etc,no
redirect,-unknown-,-unknown-,etc,no
pricing,-unknown-,-unknown-,search,no
apply_code,-unknown-,-unknown-,etc,no
slideshow,-unknown-,-unknown-,etc,no
locations,-unknown-,-unknown-,search,no
ajax_google_translate_reviews,translate_listing_reviews,click,etc,no
new_session,-unknown-,-unknown-,etc,no
has_profile_pic,-unknown-,-unknown-,etc,no
sublets,-unknown-,-unknown-,etc,no
wishlists,-unknown-,-unknown-,my_options,no
reservation,-unknown-,-unknown-,reservation,no
localized,-unknown-,-unknown-,search,no
home_safety_landing,-unknown-,-unknown-,search,no
click,book_it,click,reservation,yes
click,contact_host,click,contact,no
click,instant_book,click,reservation,yes
how_it_works,-unknown-,-unknown-,etc,no
ajax_get_referrals_amt,-unknown-,-unknown-,etc,no
click,request_to_book,click,etc,yes
phone_verification,,,login,no
satisfy,,,etc,no
click,complete_booking,click,reservation,yes
city_count,-unknown-,-unknown-,etc,no
recommendation_page,-unknown-,-unknown-,search,no
press_content,-unknown-,-unknown-,etc,no
guest_billing_receipt,-unknown-,-unknown-,reservation,no
ajax_payout_split_edit,-unknown-,-unknown-,reservation,no
print_confirmation,-unknown-,-unknown-,reservation,no
envoy_form,-unknown-,-unknown-,etc,no
change_availability,change_availability,submit,etc,no
ajax_special_offer_dates_available,special_offer_field,click,etc,no
ajax_referral_banner_experiment_type,-unknown-,-unknown-,etc,no
patch,-unknown-,-unknown-,etc,no
questions,-unknown-,-unknown-,etc,no
qt_reply_v2,-unknown-,-unknown-,etc,no
home_safety_terms,-unknown-,-unknown-,etc,no
track_activity,,,etc,no
check,,,etc,no
sldf,-unknown-,-unknown-,etc,no
recommended_listings,-unknown-,-unknown-,search,no
mobile_oauth_callback,-unknown-,-unknown-,etc,no
recommendations,listing_recommendations,data,search,no
show_code,-unknown-,-unknown-,etc,no
signed_out_modal,,,login,no
plaxo_cb,-unknown-,-unknown-,etc,no
views,-unknown-,-unknown-,etc,no
friend_listing,-unknown-,-unknown-,friend,no
show,view_listing,view,etc,no
ajax_referral_banner_type,-unknown-,-unknown-,etc,no
deactivate,-unknown-,-unknown-,etc,no
sync,-unknown-,-unknown-,etc,no
social-media,-unknown-,-unknown-,friend,no
index,listing_descriptions,view,etc,no
united-states,-unknown-,-unknown-,etc,no
email_by_key,-unknown-,-unknown-,contact,no
disaster_action,,,etc,no
views_campaign,-unknown-,-unknown-,etc,no
update_message,-unknown-,-unknown-,contact,no
spoken_languages,user_languages,data,login,no
use_mobile_site,-unknown-,-unknown-,etc,no
deauthorize,-unknown-,-unknown-,login,no
special_offer,message_post,message_post,contact,no
top_destinations,-unknown-,-unknown-,search,no
create_airbnb,-unknown-,-unknown-,login,no
handle_vanity_url,-unknown-,-unknown-,etc,no
impressions,p4,view,etc,no
message_to_host_focus,message_to_host_focus,click,contact,no
cancellation_policy_click,cancellation_policy_click,click,etc,no
message_to_host_change,message_to_host_change,click,contact,no
agree_terms_check,-unknown-,-unknown-,login,no
read_policy_click,read_policy_click,click,login,no
phone_verification_success,phone_verification_success,click,login,no
phone_verification_number_sucessfully_submitted,-unknown-,-unknown-,login,no
phone_verification_number_submitted_for_sms,-unknown-,-unknown-,login,no
phone_verification_phone_number_removed,-unknown-,-unknown-,login,no
endpoint_error,-unknown-,-unknown-,etc,no
p4_refund_policy_terms,p4_refund_policy_terms,click,login,no
apply_coupon_error_type,-unknown-,-unknown-,reservation,no
apply_coupon_error,apply_coupon_error,click,reservation,no
apply_coupon_click,apply_coupon_click,click,reservation,no
coupon_field_focus,coupon_field_focus,click,reservation,no
coupon_code_click,coupon_code_click,click,reservation,no
agree_terms_uncheck,-unknown-,-unknown-,etc,no
p4_terms,p4_terms,click,etc,no
phone_verification_call_taking_too_long,-unknown-,-unknown-,login,no
phone_verification_number_submitted_for_call,-unknown-,-unknown-,login,no
phone_verification_error,-unknown-,-unknown-,login,no
apply_coupon_click_success,apply_coupon_click_success,click,reservation,no
set_default,-unknown-,-unknown-,etc,no
update_country_of_residence,-unknown-,-unknown-,search,no
open_hard_fallback_modal,-unknown-,-unknown-,etc,no
tos_2014,tos_2014,view,etc,no
views_campaign_rules,-unknown-,-unknown-,etc,no
weibo_signup_referral_finish,-unknown-,-unknown-,login,no
signup_weibo_referral,-unknown-,-unknown-,login,no
similar_listings_v2,,,etc,no
confirmation,-unknown-,-unknown-,login,no
signup_weibo,-unknown-,-unknown-,login,no
acculynk_load_pin_pad,-unknown-,-unknown-,reservation,no
acculynk_bin_check_success,-unknown-,-unknown-,reservation,no
acculynk_session_obtained,-unknown-,-unknown-,reservation,no
acculynk_pin_pad_inactive,-unknown-,-unknown-,reservation,no
reactivate,-unknown-,-unknown-,login,no
airbrb,-unknown-,-unknown-,etc,no
desks,-unknown-,-unknown-,etc,no
sandy,-unknown-,-unknown-,etc,no
unsubscribe,-unknown-,-unknown-,etc,no
host_cancel,-unknown-,-unknown-,reservation,no
acculynk_bin_check_failed,-unknown-,-unknown-,reservation,no
acculynk_pin_pad_error,-unknown-,-unknown-,reservation,no
custom_recommended_destinations,-unknown-,-unknown-,search,no
this_hosting_reviews_3000,-unknown-,-unknown-,search,no
reset_calendar,-unknown-,-unknown-,search,no
events,-unknown-,-unknown-,etc,no
index,view_reservations,view,reservation,no
index,view_locations,view,search,no
patch,modify_users,modify,reservation,no
show,view_security_checks,view,etc,no
delete,phone_numbers,-unknown-,login,no
reviews,profile_reviews,view,login,no
patch,modify_reservations,modify,reservation,no
business_travel,-unknown-,-unknown-,search,no
add_guest_colorbox,-unknown-,-unknown-,reservation,no
hard_fallback_submit,-unknown-,-unknown-,etc,no
add_business_address_colorbox,-unknown-,-unknown-,login,no
my_reservations,your_reservations,view,my_options,no
index,view_resolutions,view,search,no
click,-unknown-,-unknown-,etc,no
report,-unknown-,-unknown-,etc,no
book,p4,view,reservation,yes
revert_to_admin,-unknown-,-unknown-,etc,no
acculynk_pin_pad_success,-unknown-,-unknown-,reservation,no
index,account_payment_methods,view,reservation,no
create,create_payment_instrument,submit,reservation,no
set_default,set_default_payment_instrument,submit,reservation,no
destroy,delete_payment_instrument,submit,reservation,no
south-america,-unknown-,-unknown-,etc,no
braintree_client_token,,,reservation,no
view,p3,view,etc,no
click,photos,click,search,no
click,click_reviews,click,search,no
click,move_map,click,search,no
click,share,click,search,no
click,cancellation_policy,click,search,no
stpcv,-unknown-,-unknown-,etc,no
click,click_about_host,click,search,no
click,click_amenities,click,search,no
set_minimum_payout_amount,-unknown-,-unknown-,search,no
support_phone_numbers,-unknown-,-unknown-,search,no
delete,reservations,-unknown-,reservation,no
refund_guest_cancellation,host_refund_guest,submit,reservation,no
accept_decline,host_respond_page,view,etc,no
index,view_user_real_names,view,search,no
index,view_identity_verifications,view,login,no
index,view_ghosting_reasons,view,login,no
show,view_identity_verifications,view,login,no
index,view_ghostings,view,login,no
deactivated,host_standard_suspension,view,login,no
terms,-unknown-,-unknown-,etc,no
delete,deactivate_user_account,submit,login,no
rest-of-world,-unknown-,-unknown-,etc,no
