Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,SeedNumx,SeedNumy,WRts,WReFG,WRoer,WRder,WRat,WRastratio,WRtoratio,WRovr,Wts,WeFG,Woer,Wder,Wat,Wastratio,Wtoratio,lRts,lReFG,lRoer,lRder,lRat,lRastratio,lRtoratio,lRovr,lts,leFG,loer,lder,lat,lastratio,ltoratio,WMx,WMy,wlevel,llevel,wfinal_last1,lfinal_last1,Wwinratio,lwinratio,Wpan,lpan
2003,137,1277,79,1160,64,N,0,7,10,B,B,B,A,C,B,B,B,0.553,0.499,103.897,94.646,0.936,13.38,14.299,C,C,B,B,C,C,B,C,0.525,0.484,105.809,99.354,0.956,11.571,12.101,4.3125,9.59375,0,0,RoundOf64,RoundOf32,0.612903226,0.64516129,31,31
2003,136,1181,67,1161,57,N,0,3,14,B,B,A,B,C,C,B,B,0.564,0.514,112.361,97.15,0.986,12.056,12.23,A,A,A,C,C,A,C,B,0.589,0.547,108.647,107.612,0.961,14.533,15.126,2.145251397,12.53333333,0,1,SweetSixteen,RoundOf64,0.8,0.566666667,30,30
2003,144,1400,82,1163,78,N,0,1,5,B,B,A,B,B,C,A,B,0.541,0.495,112.421,98.506,1.08,12.306,11.397,B,B,A,B,C,B,B,B,0.556,0.524,109.699,98.293,0.989,12.92,13.058,6.74522293,3.404411765,1,0,SweetSixteen,EliteEight,0.785714286,0.7,28,30
2003,136,1141,79,1166,73,N,0,11,6,A,A,A,B,C,B,C,B,0.622,0.57,111.095,102.545,0.856,14.235,16.623,A,A,A,A,B,A,B,A,0.598,0.569,115.257,93.671,1.259,14.894,11.835,11.27272727,9.865979381,0,0,RoundOf64,RoundOf32,0.793103448,0.878787879,29,33
2003,136,1409,84,1173,71,N,0,13,4,B,B,A,A,B,B,B,A,0.561,0.521,106.973,94.946,1.032,13.283,12.877,B,B,A,B,B,B,B,B,0.567,0.521,113.627,103.588,1.142,14.269,12.489,9.6,7.928571429,0,1,RoundOf32,RoundOf64,0.709677419,0.827586207,31,29
2003,143,1242,69,1181,65,N,0,2,3,B,B,A,A,B,B,B,A,0.558,0.524,110.629,90.892,1.123,13.79,12.279,B,B,A,B,C,C,B,B,0.564,0.514,112.361,97.15,0.986,12.056,12.23,2.956756757,2.145251397,0,0,FinalFour,SweetSixteen,0.766666667,0.8,30,30
2003,137,1448,76,1190,73,N,0,2,15,B,B,A,B,C,B,B,B,0.569,0.51,113.152,97.804,0.966,13.01,13.471,B,B,B,B,D,C,C,C,0.551,0.5,103.422,100.963,0.749,11.581,15.462,4.508064516,13.88888889,0,0,RoundOf32,RoundOf32,0.827586207,0.62962963,29,27
2003,139,1277,68,1196,46,N,0,7,2,B,B,B,A,C,B,B,B,0.553,0.499,103.897,94.646,0.936,13.38,14.299,A,A,A,B,B,A,B,A,0.585,0.553,112.569,95.968,1.227,14.767,12.04,4.3125,4.796610169,0,1,RoundOf64,RoundOf64,0.612903226,0.774193548,31,31
2003,138,1112,96,1211,95,N,2,1,9,B,B,A,A,B,B,A,A,0.555,0.515,111.652,92.164,1.193,13.886,11.637,A,A,A,B,B,B,B,A,0.581,0.535,111.836,98.434,1.082,14.293,13.209,2.605263158,9.864583333,1,1,SweetSixteen,RoundOf64,0.892857143,0.741935484,28,31
2003,136,1266,72,1221,68,N,0,3,14,A,A,A,B,B,A,B,A,0.588,0.535,116.827,101.129,1.203,14.718,12.238,B,B,A,A,B,A,B,A,0.555,0.509,107.801,89.284,1.106,14.642,13.234,5.604938272,14.6984127,1,0,RoundOf64,RoundOf64,0.821428571,0.862068966,28,29
2003,138,1323,68,1228,60,N,0,5,4,B,B,A,B,A,A,A,A,0.566,0.517,111.07,99.533,1.323,14.441,10.913,A,A,A,A,A,A,A,A,0.587,0.552,111.526,91.492,1.387,16.341,11.779,6.853333333,4.722972973,0,0,RoundOf32,SweetSixteen,0.709677419,0.8,31,30
2003,139,1338,74,1231,52,N,0,2,7,A,A,A,A,B,A,B,A,0.587,0.562,110.794,87.381,1.177,16.165,13.739,B,B,A,B,B,B,A,A,0.543,0.495,108.22,102.039,1.201,13.228,11.013,4.303030303,5.407407407,0,1,SweetSixteen,ChampionshipGame,0.866666667,0.625,30,32
2003,137,1246,95,1237,64,N,0,1,16,B,A,A,A,B,B,B,A,0.574,0.538,112.793,92.876,1.151,14.155,12.297,B,B,B,B,C,B,C,B,0.558,0.513,104.608,103.332,0.841,12.506,14.872,2.412790698,16,0,1,SweetSixteen,etc,0.90625,0.59375,32,32
2003,154,1393,81,1242,78,N,0,3,2,B,B,A,B,B,B,A,A,0.552,0.512,111.393,97.634,1.099,12.665,11.527,B,B,A,A,B,B,B,A,0.558,0.524,110.629,90.892,1.123,13.79,12.279,4.493333333,2.956756757,1,0,RoundOf32,FinalFour,0.827586207,0.766666667,29,30
2003,145,1266,83,1246,69,N,0,3,1,A,A,A,B,B,A,B,A,0.588,0.535,116.827,101.129,1.203,14.718,12.238,B,A,A,A,B,B,B,A,0.574,0.538,112.793,92.876,1.151,14.155,12.297,5.604938272,2.412790698,1,0,RoundOf64,SweetSixteen,0.821428571,0.90625,28,32
2003,139,1139,79,1257,71,N,0,12,4,A,A,A,B,B,B,A,A,0.592,0.559,113.32,101.938,1.245,13.46,10.811,B,B,A,A,B,B,A,A,0.569,0.529,113.588,94.959,1.242,14.12,11.369,12.07594937,5.861538462,1,0,RoundOf32,RoundOf64,0.827586207,0.8,29,30
2003,137,1345,80,1261,56,N,0,9,8,B,C,B,A,C,C,B,B,0.547,0.484,103.923,94.325,0.886,11.734,13.239,B,A,A,A,B,A,B,A,0.574,0.548,109.185,93.159,1.181,14.958,12.662,5.471830986,7.3125,0,1,EliteEight,SweetSixteen,0.642857143,0.677419355,28,31
2003,137,1393,76,1264,65,N,0,3,14,B,B,A,B,B,B,A,A,0.552,0.512,111.393,97.634,1.099,12.665,11.527,B,B,A,A,C,B,B,B,0.56,0.499,107.341,95.412,0.976,12.495,12.806,4.493333333,13.02564103,1,1,RoundOf32,RoundOf32,0.827586207,0.793103448,29,29
2003,152,1242,94,1266,61,N,0,2,3,B,B,A,A,B,B,B,A,0.558,0.524,110.629,90.892,1.123,13.79,12.279,A,A,A,B,B,A,B,A,0.588,0.535,116.827,101.129,1.203,14.718,12.238,2.956756757,5.604938272,0,1,FinalFour,RoundOf64,0.766666667,0.821428571,30,28
2003,144,1277,60,1268,58,N,0,7,6,B,B,B,A,C,B,B,B,0.553,0.499,103.897,94.646,0.936,13.38,14.299,B,B,A,A,A,A,A,A,0.554,0.518,110.354,90.636,1.339,15.207,11.355,4.3125,4.223684211,0,1,RoundOf64,Champion,0.612903226,0.678571429,31,28
2003,136,1113,84,1272,71,N,0,10,7,B,B,A,B,B,B,B,B,0.555,0.513,110.515,99.96,1.111,13.95,12.558,B,B,B,A,B,B,A,A,0.532,0.496,106.76,94.438,1.205,14.228,11.808,8.135135135,6.563380282,1,0,SweetSixteen,RoundOf64,0.620689655,0.793103448,29,29
2003,146,1400,85,1277,76,N,0,1,7,B,B,A,B,B,C,A,B,0.541,0.495,112.421,98.506,1.08,12.306,11.397,B,B,B,A,C,B,B,B,0.553,0.499,103.897,94.646,0.936,13.38,14.299,6.74522293,4.3125,1,0,SweetSixteen,RoundOf64,0.785714286,0.612903226,28,31
2003,137,1139,47,1280,46,N,0,12,5,A,A,A,B,B,B,A,A,0.592,0.559,113.32,101.938,1.245,13.46,10.811,B,B,B,A,C,B,B,B,0.552,0.522,105.474,90.844,0.928,13.124,14.15,12.07594937,4.462686567,1,0,RoundOf32,RoundOf32,0.827586207,0.7,29,30
2003,138,1266,101,1281,92,N,1,3,6,A,A,A,B,B,A,B,A,0.588,0.535,116.827,101.129,1.203,14.718,12.238,B,B,B,B,C,C,B,B,0.534,0.505,106.627,97.646,1.009,12.205,12.09,5.604938272,7.454545455,1,1,RoundOf64,EliteEight,0.821428571,0.677419355,28,31
2003,136,1143,76,1301,74,N,1,8,9,B,B,B,B,B,B,B,B,0.553,0.52,106.036,99.33,1.129,13.945,12.352,A,B,A,B,B,B,B,A,0.581,0.531,108.375,102.161,1.033,13.88,13.438,7.336538462,7.186440678,0,0,RoundOf32,RoundOf32,0.724137931,0.6,29,30
2003,143,1112,88,1323,71,N,0,1,5,B,B,A,A,B,B,A,A,0.555,0.515,111.652,92.164,1.193,13.886,11.637,B,B,A,B,A,A,A,A,0.566,0.517,111.07,99.533,1.323,14.441,10.913,2.605263158,6.853333333,1,0,SweetSixteen,RoundOf32,0.892857143,0.709677419,28,31
2003,146,1393,63,1328,47,N,0,3,1,B,B,A,B,B,B,A,A,0.552,0.512,111.393,97.634,1.099,12.665,11.527,B,B,A,A,B,B,A,A,0.55,0.513,110.535,92.756,1.201,13.194,10.99,4.493333333,5.408536585,1,0,RoundOf32,FinalFour,0.827586207,0.8,29,30
2003,139,1393,68,1329,56,N,0,3,6,B,B,A,B,B,B,A,A,0.552,0.512,111.393,97.634,1.099,12.665,11.527,C,B,B,A,C,C,B,B,0.527,0.489,101.781,92.041,0.835,11.474,13.736,4.493333333,6.166666667,1,0,RoundOf32,RoundOf64,0.827586207,0.689655172,29,29
2003,137,1428,60,1332,58,N,0,9,8,B,B,A,B,B,B,B,B,0.565,0.527,108.383,98.596,1.039,13.339,12.834,A,A,A,B,B,B,B,A,0.578,0.534,109.724,99.131,1.148,14.322,12.478,6.125,5.71875,0,0,RoundOf64,EliteEight,0.766666667,0.71875,30,32
2003,137,1329,77,1335,63,N,0,6,11,C,B,B,A,C,C,B,B,0.527,0.489,101.781,92.041,0.835,11.474,13.736,A,A,A,A,B,A,B,A,0.587,0.553,110.619,92.708,1.142,14.555,12.74,6.166666667,11.87254902,0,1,RoundOf64,RoundOf64,0.689655172,0.814814815,29,27
2003,143,1266,77,1338,74,N,0,3,2,A,A,A,B,B,A,B,A,0.588,0.535,116.827,101.129,1.203,14.718,12.238,A,A,A,A,B,A,B,A,0.587,0.562,110.794,87.381,1.177,16.165,13.739,5.604938272,4.303030303,1,0,RoundOf64,SweetSixteen,0.821428571,0.866666667,28,30
2003,139,1400,77,1345,67,N,0,1,9,B,B,A,B,B,C,A,B,0.541,0.495,112.421,98.506,1.08,12.306,11.397,B,C,B,A,C,C,B,B,0.547,0.484,103.923,94.325,0.886,11.734,13.239,6.74522293,5.471830986,1,0,SweetSixteen,EliteEight,0.785714286,0.642857143,28,28
2003,136,1328,71,1354,54,N,0,1,16,B,B,A,A,B,B,A,A,0.55,0.513,110.535,92.756,1.201,13.194,10.99,B,B,B,B,D,D,D,C,0.554,0.504,100.805,99.147,0.527,9.504,18.021,5.408536585,15.53030303,0,0,FinalFour,RoundOf64,0.8,0.666666667,30,30
2003,136,1281,72,1356,71,N,0,6,11,B,B,B,B,C,C,B,B,0.534,0.505,106.627,97.646,1.009,12.205,12.09,B,B,A,B,B,B,A,A,0.561,0.526,109.496,101.019,1.085,12.402,11.427,7.454545455,11.23880597,1,1,EliteEight,SweetSixteen,0.677419355,0.8,31,30
2003,137,1196,85,1358,55,N,0,2,15,A,A,A,B,B,A,B,A,0.585,0.553,112.569,95.968,1.227,14.767,12.04,B,B,B,A,C,A,C,B,0.563,0.516,104.565,94.508,0.993,14.418,14.52,4.796610169,15,1,1,RoundOf64,etc,0.774193548,0.777777778,31,27
2003,136,1390,77,1360,69,N,0,4,13,B,B,B,B,C,B,B,B,0.538,0.502,106.648,98.047,1.023,13.014,12.727,B,A,B,B,C,A,C,B,0.573,0.536,104.067,98.979,0.902,14.681,16.28,4.945945946,12.45454545,0,0,RoundOf32,RoundOf64,0.741935484,0.607142857,31,28
2003,137,1120,65,1386,63,N,1,10,7,B,B,B,B,C,B,C,B,0.553,0.521,104.084,97.172,0.843,12.4,14.713,B,B,A,A,B,B,B,A,0.556,0.519,108.213,90.617,1.083,13.297,12.282,6.666666667,6.862745098,0,1,RoundOf32,RoundOf32,0.633333333,0.793103448,30,29
2003,138,1163,85,1390,74,N,0,5,4,B,B,A,B,C,B,B,B,0.556,0.524,109.699,98.293,0.989,12.92,13.058,B,B,B,B,C,B,B,B,0.538,0.502,106.648,98.047,1.023,13.014,12.727,3.404411765,4.945945946,0,0,EliteEight,RoundOf32,0.7,0.741935484,30,31
2003,152,1393,95,1400,84,N,0,3,1,B,B,A,B,B,B,A,A,0.552,0.512,111.393,97.634,1.099,12.665,11.527,B,B,A,B,B,C,A,B,0.541,0.495,112.421,98.506,1.08,12.306,11.397,4.493333333,6.74522293,1,1,RoundOf32,SweetSixteen,0.827586207,0.785714286,29,28
2003,137,1462,71,1407,59,N,0,3,14,B,B,A,A,B,B,A,A,0.559,0.507,113.347,94.84,1.258,14.3,11.365,B,B,A,B,B,C,A,B,0.537,0.505,109.329,97.292,1.097,12.261,11.176,8.265625,14,0,1,RoundOf32,etc,0.833333333,0.833333333,30,30
2003,138,1458,61,1409,60,N,0,5,13,B,B,A,A,B,B,A,A,0.566,0.522,112.868,93.309,1.266,13.122,10.368,B,B,A,A,B,B,B,A,0.561,0.521,106.973,94.946,1.032,13.283,12.877,6.712962963,9.6,1,0,RoundOf32,RoundOf32,0.75862069,0.709677419,29,31
2003,134,1421,92,1411,84,N,1,16,16,B,C,B,D,C,C,C,C,0.539,0.486,101.82,112.082,0.804,11.74,14.598,B,B,B,B,C,B,B,B,0.538,0.501,104.474,99.705,0.932,13.025,13.973,16,15.2826087,1,1,etc,RoundOf64,0.448275862,0.6,29,30
2003,137,1400,82,1421,61,N,0,1,16,B,B,A,B,B,C,A,B,0.541,0.495,112.421,98.506,1.08,12.306,11.397,B,C,B,D,C,C,C,C,0.539,0.486,101.82,112.082,0.804,11.74,14.598,6.74522293,16,1,1,SweetSixteen,etc,0.785714286,0.448275862,28,29
2003,137,1268,75,1423,73,N,0,6,11,B,B,A,A,A,A,A,A,0.554,0.518,110.354,90.636,1.339,15.207,11.355,B,B,A,A,B,B,A,A,0.554,0.522,108.282,90.73,1.279,13.663,10.682,4.223684211,12.88679245,1,1,Champion,RoundOf32,0.678571429,0.8,28,30
2003,139,1246,74,1428,54,N,0,1,9,B,A,A,A,B,B,B,A,0.574,0.538,112.793,92.876,1.151,14.155,12.297,B,B,A,B,B,B,B,B,0.565,0.527,108.383,98.596,1.039,13.339,12.834,2.412790698,6.125,0,0,SweetSixteen,RoundOf64,0.90625,0.766666667,32,30
2003,136,1242,64,1429,61,N,0,2,15,B,B,A,A,B,B,B,A,0.558,0.524,110.629,90.892,1.123,13.79,12.279,B,B,A,B,B,B,B,B,0.542,0.495,109.151,99.24,1.136,13.774,12.122,2.956756757,12.9,0,1,FinalFour,RoundOf32,0.766666667,0.733333333,30,30
2003,136,1112,80,1436,51,N,0,1,16,B,B,A,A,B,B,A,A,0.555,0.515,111.652,92.164,1.193,13.886,11.637,C,B,B,B,C,B,B,B,0.526,0.492,103.393,96.517,1.01,13.068,12.941,2.605263158,16,1,0,SweetSixteen,etc,0.892857143,0.655172414,28,29
2003,136,1228,65,1443,60,N,0,4,13,A,A,A,A,A,A,A,A,0.587,0.552,111.526,91.492,1.387,16.341,11.779,B,B,A,B,C,B,B,B,0.561,0.529,107.202,96.6,0.936,12.92,13.801,4.722972973,10.71910112,0,0,SweetSixteen,RoundOf64,0.8,0.741935484,30,31
2003,137,1338,87,1447,61,N,0,2,15,A,A,A,A,B,A,B,A,0.587,0.562,110.794,87.381,1.177,16.165,13.739,B,B,A,B,B,B,B,B,0.571,0.533,109.28,102.92,1.075,14.105,13.116,4.303030303,15,0,0,SweetSixteen,etc,0.866666667,0.677419355,30,31
2003,139,1120,68,1448,62,N,0,10,2,B,B,B,B,C,B,C,B,0.553,0.521,104.084,97.172,0.843,12.4,14.713,B,B,A,B,C,B,B,B,0.569,0.51,113.152,97.804,0.966,13.01,13.471,6.666666667,4.508064516,0,0,RoundOf32,RoundOf32,0.633333333,0.827586207,30,29
2003,136,1458,81,1451,74,N,0,5,12,B,B,A,A,B,B,A,A,0.566,0.522,112.868,93.309,1.266,13.122,10.368,A,B,A,B,B,B,B,A,0.578,0.523,111.978,100.233,1.147,13.881,12.104,6.712962963,13.15555556,1,0,RoundOf32,RoundOf32,0.75862069,0.862068966,29,29
2003,136,1323,70,1454,69,N,0,5,12,B,B,A,B,A,A,A,A,0.566,0.517,111.07,99.533,1.323,14.441,10.913,B,A,A,B,B,A,B,A,0.575,0.54,109.521,99.059,1.15,14.875,12.932,6.853333333,12,0,0,RoundOf32,etc,0.709677419,0.766666667,31,30
2003,143,1246,63,1458,57,N,0,1,5,B,A,A,A,B,B,B,A,0.574,0.538,112.793,92.876,1.151,14.155,12.297,B,B,A,A,B,B,A,A,0.566,0.522,112.868,93.309,1.266,13.122,10.368,2.412790698,6.712962963,0,1,SweetSixteen,RoundOf32,0.90625,0.75862069,32,29
2003,139,1268,77,1462,64,N,0,6,3,B,B,A,A,A,A,A,A,0.554,0.518,110.354,90.636,1.339,15.207,11.355,B,B,A,A,B,B,A,A,0.559,0.507,113.347,94.84,1.258,14.3,11.365,4.223684211,8.265625,1,0,Champion,RoundOf32,0.678571429,0.833333333,28,30
2004,136,1314,63,1102,52,N,0,6,11,B,B,A,B,B,A,B,A,0.552,0.513,109.91,99.96,1.174,14.533,12.384,A,A,A,A,B,A,B,A,0.615,0.583,112.288,92.971,1.228,15.668,12.754,3.369942197,11,1,0,RoundOf32,etc,0.642857143,0.785714286,28,28
2004,145,1163,87,1104,71,N,0,2,8,B,B,A,A,A,A,A,A,0.553,0.532,112.964,91.142,1.323,14.925,11.281,B,B,B,C,C,C,B,B,0.559,0.518,108.443,101.526,0.894,11.369,12.724,3.224358974,6.309090909,0,0,SweetSixteen,RoundOf64,0.818181818,0.586206897,33,29
2004,136,1181,96,1106,61,N,0,1,16,A,B,A,A,B,B,B,A,0.578,0.533,114.351,92.788,1.004,12.652,12.596,B,C,C,A,D,C,D,C,0.524,0.479,95.812,93.545,0.597,10.515,17.615,2.030150754,16,0,1,SweetSixteen,RoundOf64,0.84375,0.533333333,32,30
2004,136,1371,80,1112,76,N,0,8,9,B,B,B,B,B,B,B,B,0.552,0.512,108.094,95.819,1.008,12.238,12.139,A,A,A,C,B,A,B,A,0.587,0.542,115.698,103.902,1.263,14.825,11.741,6.810126582,3.214285714,0,1,SweetSixteen,EliteEight,0.678571429,0.689655172,28,29
2004,139,1210,57,1130,54,N,0,3,6,A,B,B,A,B,B,B,A,0.57,0.532,107.541,92.408,1.02,13.686,13.415,B,B,B,B,B,A,B,B,0.536,0.489,106.212,97.373,1.189,14.967,12.585,5.117021277,7.32967033,0,0,RoundOf64,RoundOf64,0.71875,0.71875,32,32
2004,136,1393,80,1140,75,N,0,5,12,B,B,B,B,B,B,A,B,0.529,0.499,107.614,98.976,1.201,13.45,11.198,A,A,A,B,B,A,B,A,0.585,0.539,109.867,98.773,1.048,14.216,13.569,4.552941176,10.49038462,1,0,Champion,RoundOf64,0.75,0.703703704,28,27
2004,136,1403,76,1150,73,N,0,8,9,B,B,B,B,B,B,A,B,0.542,0.496,106.664,96.307,1.183,13.244,11.196,B,B,A,B,B,B,B,B,0.551,0.515,109.317,98.21,1.059,13.704,12.946,7.161290323,7.983333333,0,0,RoundOf64,RoundOf64,0.6875,0.724137931,32,29
2004,139,1228,92,1153,68,N,0,5,4,B,B,A,B,A,A,A,A,0.557,0.525,110.428,96.965,1.334,14.985,11.231,B,B,A,A,A,A,A,A,0.554,0.519,112.512,91.638,1.325,14.159,10.686,4.755952381,3.901098901,0,0,RoundOf32,RoundOf64,0.8,0.8,30,30
2004,136,1177,76,1173,69,N,2,7,10,B,B,A,C,B,B,B,B,0.557,0.516,109.03,103.698,1.022,12.988,12.704,B,B,B,C,B,A,B,B,0.551,0.513,106.703,100.697,1.046,14.331,13.701,7.727272727,8.596774194,0,1,RoundOf64,RoundOf64,0.7,0.75,30,32
2004,138,1163,72,1177,55,N,0,2,7,B,B,A,A,A,A,A,A,0.553,0.532,112.964,91.142,1.323,14.925,11.281,B,B,A,C,B,B,B,B,0.557,0.516,109.03,103.698,1.022,12.988,12.704,3.224358974,7.727272727,0,0,SweetSixteen,RoundOf64,0.818181818,0.7,33,30
2004,152,1163,79,1181,78,N,0,2,1,B,B,A,A,A,A,A,A,0.553,0.532,112.964,91.142,1.323,14.925,11.281,A,B,A,A,B,B,B,A,0.578,0.533,114.351,92.788,1.004,12.652,12.596,3.224358974,2.030150754,0,0,SweetSixteen,SweetSixteen,0.818181818,0.84375,33,32
2004,137,1329,75,1186,56,N,0,2,15,A,A,A,B,B,A,B,A,0.591,0.556,114.545,94.296,1.195,14.522,12.153,A,A,B,C,B,A,C,B,0.576,0.536,104.728,101.824,1.033,14.873,14.4,5.658536585,15,0,0,RoundOf32,etc,0.896551724,0.571428571,29,28
2004,137,1153,80,1190,77,N,0,4,13,B,B,A,A,A,A,A,A,0.554,0.519,112.512,91.638,1.325,14.159,10.686,B,B,B,A,C,B,B,B,0.549,0.513,103.92,92.841,0.951,12.865,13.529,3.901098901,13.61538462,0,0,RoundOf64,RoundOf64,0.8,0.827586207,30,29
2004,136,1264,75,1196,60,N,0,12,5,B,B,A,A,C,C,B,B,0.557,0.494,110.108,93.816,0.83,10.449,12.586,A,A,A,C,B,A,B,A,0.597,0.556,111.634,101.715,1.109,14.617,13.179,12.6779661,4.826086957,1,1,RoundOf64,RoundOf32,0.827586207,0.666666667,29,30
2004,137,1246,96,1197,76,N,0,1,16,B,B,B,A,B,B,B,B,0.559,0.524,107.347,92.649,1.076,13.936,12.953,B,B,B,C,C,C,C,C,0.542,0.49,100.054,101.963,0.75,11.552,15.403,2.265625,16,0,0,EliteEight,RoundOf64,0.866666667,0.466666667,30,30
2004,154,1163,82,1210,73,N,0,2,3,B,B,A,A,A,A,A,A,0.553,0.532,112.964,91.142,1.323,14.925,11.281,A,B,B,A,B,B,B,A,0.57,0.532,107.541,92.408,1.02,13.686,13.415,3.224358974,5.117021277,0,0,SweetSixteen,RoundOf64,0.818181818,0.71875,33,32
2004,138,1305,91,1211,72,N,0,10,2,B,B,A,B,B,B,B,B,0.545,0.497,109.583,95.561,1.095,12.725,11.622,A,A,A,B,A,A,B,A,0.617,0.573,119.841,95.255,1.344,16.12,11.999,10.19047619,8.50862069,0,1,RoundOf64,RoundOf32,0.733333333,0.931034483,30,29
2004,137,1242,78,1227,53,N,0,4,13,B,B,B,B,B,A,B,B,0.553,0.513,106.952,97.813,1.196,14.947,12.503,B,B,B,B,B,B,B,B,0.533,0.501,107.808,95.863,1.174,13.698,11.664,3.058536585,12.61538462,0,1,ChampionshipGame,RoundOf64,0.714285714,0.774193548,28,31
2004,144,1181,72,1228,62,N,0,1,5,A,B,A,A,B,B,B,A,0.578,0.533,114.351,92.788,1.004,12.652,12.596,B,B,A,B,A,A,A,A,0.557,0.525,110.428,96.965,1.334,14.985,11.231,2.030150754,4.755952381,0,0,SweetSixteen,RoundOf32,0.84375,0.8,32,30
2004,146,1210,79,1242,71,N,1,3,4,A,B,B,A,B,B,B,A,0.57,0.532,107.541,92.408,1.02,13.686,13.415,B,B,B,B,B,A,B,B,0.553,0.513,106.952,97.813,1.196,14.947,12.503,5.117021277,3.058536585,0,0,RoundOf64,ChampionshipGame,0.71875,0.714285714,32,28
2004,139,1412,76,1246,75,N,0,9,1,B,B,B,A,A,A,A,A,0.526,0.495,103.297,93.157,1.291,14.566,11.281,B,B,B,A,B,B,B,B,0.559,0.524,107.347,92.649,1.076,13.936,12.953,9.50877193,2.265625,0,0,RoundOf64,EliteEight,0.689655172,0.866666667,29,30
2004,134,1197,72,1250,57,N,0,16,16,B,B,B,C,C,C,C,C,0.542,0.49,100.054,101.963,0.75,11.552,15.403,B,C,B,B,C,C,B,B,0.525,0.478,99.557,96.751,0.854,11.922,13.965,16,16,0,0,RoundOf64,RoundOf64,0.466666667,0.642857143,30,28
2004,136,1386,82,1251,63,N,0,1,16,A,A,A,A,A,A,A,A,0.595,0.564,115.434,91.347,1.412,15.03,10.647,C,C,B,B,C,B,B,B,0.518,0.479,99.658,96.857,0.871,12.204,14.004,5.211267606,16,1,0,RoundOf64,RoundOf64,0.964285714,0.548387097,28,31
